"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSMs","SPD",0.50826412095073,2,36,0.605790836787055,"   ",1.01652824190146,2,0.601538871759913,"   ","heaSMs <= SPD"
"heaSMs","clim",1.21439540763276,2,36,0.308762156545637,"   ",2.42879081526553,2,0.296889457143393,"   ","heaSMs <= clim"
"heaSMs","SPD|clim",0.832293762878549,4,36,0.513585265905176,"   ",3.32917505151419,4,0.504323044618971,"   ","heaSMs <= SPD|clim"
"araSMs","SPD",2.3420657282386,2,36,0.110609934050761,"   ",4.68413145647719,2,0.0961288568928416,".  ","araSMs <= SPD"
"araSMs","clim",0.690951218110726,2,36,0.507621279677929,"   ",1.38190243622145,2,0.501099187670321,"   ","araSMs <= clim"
"araSMs","SPD|clim",1.54596046737847,4,36,0.209776627572564,"   ",6.18384186951389,4,0.185833083490774,"   ","araSMs <= SPD|clim"
"pasSMs","SPD",1.53531972970418,2,36,0.229158339633204,"   ",3.07063945940835,2,0.215386814596871,"   ","pasSMs <= SPD"
"pasSMs","clim",2.05817515381804,2,36,0.142449045340406,"   ",4.11635030763608,2,0.127686766129217,"   ","pasSMs <= clim"
"pasSMs","SPD|clim",2.16105808045665,4,36,0.0932083711578655,".  ",8.64423232182661,4,0.0706338941877236,".  ","pasSMs <= SPD|clim"
"wetmSMs","SPD",3.03371903505213,2,36,0.0605920799582471,".  ",6.06743807010426,2,0.0481362842926311,"*  ","wetmSMs <= SPD"
"wetmSMs","clim",0.00204971653368353,2,36,0.997952499156758,"   ",0.00409943306736707,2,0.997952382700727,"   ","wetmSMs <= clim"
"wetmSMs","SPD|clim",1.56452448298128,4,36,0.204747353131202,"   ",6.25809793192512,4,0.180684681136783,"   ","wetmSMs <= SPD|clim"
"wetwSMs","SPD",0.494711420161872,1,40,0.485907242438176,"   ",0.494711420161872,1,0.481833141458861,"   ","wetwSMs <= SPD"
"wetwSMs","clim",0.75917818324258,1,40,0.388785503943464,"   ",0.75917818324258,1,0.383585830506655,"   ","wetwSMs <= clim"
"wetwSMs","SPD|clim",0.631652794714594,2,40,0.536932265206105,"   ",1.26330558942919,2,0.531712263141146,"   ","wetwSMs <= SPD|clim"
"decSMs","SPD",0.860954670034761,2,36,0.431279691825781,"   ",1.72190934006952,2,0.42275829493044,"   ","decSMs <= SPD"
